open_time,close_time,symbol,interval,open,high,low,close,volume,quote_volume,trade_count,return_bps,abs_return_bps,range_bps,upper_wick_bps,lower_wick_bps,close_to_close_return_bps,rolling_12_mean_abs_return_bps,rolling_12_realized_range_bps,label_next_1_return_bps,label_next_1_up,label_next_3_return_bps,label_next_3_up,label_next_12_return_bps,label_next_12_up,train_ready,blocking_reason
2024-01-01T00:00:00+00:00,2024-01-01T00:04:59.999000+00:00,BTCUSDT,5m,42283.58,42397.23,42261.02,42397.23,155.25731,6572925.8325696,6350,26.878046,26.878046,32.230647,0.0,5.338253,,,32.230647,3.002555,True,14.533968,True,9.033609,True,False,missing_previous_close
2024-01-01T00:05:00+00:00,2024-01-01T00:09:59.999000+00:00,BTCUSDT,5m,42397.22,42432.74,42385.26,42409.96,141.31102,5993374.7027678,5134,3.004914,3.004914,11.202007,5.37138,2.821736,3.002555,14.94148,40.633189,18.401338,True,15.083721,True,6.328702,True,True,
2024-01-01T00:10:00+00:00,2024-01-01T00:14:59.999000+00:00,BTCUSDT,5m,42409.97,42488.09,42409.96,42488.0,135.14249,5738385.9671913,5167,18.398976,18.398976,18.422559,0.021182,0.002358,18.401338,16.093978,53.730364,-6.860761,False,-16.068066,False,-5.100264,False,True,
2024-01-01T00:15:00+00:00,2024-01-01T00:19:59.999000+00:00,BTCUSDT,5m,42488.0,42554.57,42458.58,42458.85,163.32541,6943229.9761827,6153,-6.860761,6.860761,22.607916,15.667953,0.063591,-6.860761,13.785674,69.461172,3.551674,True,-22.591285,False,8.18675,True,True,
2024-01-01T00:20:00+00:00,2024-01-01T00:24:59.999000+00:00,BTCUSDT,5m,42458.85,42491.1,42445.84,42473.93,117.27112,4979136.0505332,3094,3.551674,3.551674,10.663,4.04248,3.065082,3.551674,11.738874,69.461172,-12.760769,False,-6.1473,False,0.974716,True,True,
2024-01-01T00:25:00+00:00,2024-01-01T00:29:59.999000+00:00,BTCUSDT,5m,42473.93,42500.0,42412.02,42419.73,111.65236,4739498.028685,4085,-12.760769,12.760769,20.744119,6.137883,1.817881,-12.760769,11.90919,69.461172,-13.389996,False,5.089613,True,17.310341,True,True,
2024-01-01T00:30:00+00:00,2024-01-01T00:34:59.999000+00:00,BTCUSDT,5m,42419.73,42419.73,42354.19,42362.93,77.85936,3299937.7877474,4552,-13.389996,13.389996,15.474266,0.0,2.06355,-13.389996,12.120734,69.461172,20.038746,True,14.05238,True,47.751655,True,True,
2024-01-01T00:35:00+00:00,2024-01-01T00:39:59.999000+00:00,BTCUSDT,5m,42362.93,42447.82,42355.36,42447.82,149.18862,6324233.376761,3542,20.038746,20.038746,21.829587,0.0,1.787259,20.038746,13.110485,69.461172,-1.531292,False,2.763393,True,63.536832,True,True,
2024-01-01T00:40:00+00:00,2024-01-01T00:44:59.999000+00:00,BTCUSDT,5m,42447.82,42447.82,42396.5,42441.32,92.85846,3939919.629158,2865,-1.531292,1.531292,12.104773,0.0,10.571627,-1.531292,11.823908,69.461172,-4.443783,False,7.989855,True,60.360988,True,True,
2024-01-01T00:45:00+00:00,2024-01-01T00:49:59.999000+00:00,BTCUSDT,5m,42441.32,42465.52,42422.45,42422.46,59.74817,2536517.2564311,2342,-4.443783,4.443783,10.152643,5.70199,0.002357,-4.443783,11.085896,69.461172,8.74301,True,3.080915,True,64.9538,True,True,
2024-01-01T00:50:00+00:00,2024-01-01T00:54:59.999000+00:00,BTCUSDT,5m,42422.45,42459.56,42422.45,42459.55,33.134,1406179.0556146,1837,8.745369,8.745369,8.747727,0.002355,0.0,8.74301,10.87312,69.461172,3.692927,True,-5.358041,False,48.257695,True,True,
2024-01-01T00:55:00+00:00,2024-01-01T00:59:59.999000+00:00,BTCUSDT,5m,42459.56,42490.74,42455.99,42475.23,34.93276,1483911.3101473,2013,3.690571,3.690571,8.184946,3.65154,0.840871,3.692927,10.274575,69.461172,-9.346624,False,-2.095339,False,32.567216,True,True,
2024-01-01T01:00:00+00:00,2024-01-01T01:04:59.999000+00:00,BTCUSDT,5m,42475.23,42475.23,42435.52,42435.53,86.468,3670754.3574957,2873,-9.346624,9.346624,9.357727,0.0,0.002357,-9.346624,8.813623,47.310549,0.299278,True,13.686644,True,30.224673,True,True,
2024-01-01T01:05:00+00:00,2024-01-01T01:09:59.999000+00:00,BTCUSDT,5m,42435.52,42459.22,42431.65,42436.8,58.69942,2491621.3784006,2232,0.301634,0.301634,6.497508,5.28315,0.912055,0.299278,8.588349,47.310549,6.958583,True,9.72505,True,26.422822,True,True,
2024-01-01T01:10:00+00:00,2024-01-01T01:14:59.999000+00:00,BTCUSDT,5m,42436.8,42471.1,42436.8,42466.33,43.59357,1850632.4987253,2151,6.958583,6.958583,8.082608,1.123243,0.0,6.958583,7.634983,47.310549,6.423913,True,6.317946,True,21.263905,True,True,
2024-01-01T01:15:00+00:00,2024-01-01T01:19:59.999000+00:00,BTCUSDT,5m,42466.32,42495.71,42466.32,42493.61,37.14979,1578294.7718379,1870,6.426269,6.426269,6.920779,0.494192,0.0,6.423913,7.598776,34.426346,-3.65702,False,16.851946,True,9.973264,True,True,
2024-01-01T01:20:00+00:00,2024-01-01T01:24:59.999000+00:00,BTCUSDT,5m,42493.61,42513.17,42478.07,42478.07,51.74072,2198985.8734466,2160,-3.65702,3.65702,8.263087,4.603045,0.0,-3.65702,7.607555,37.535838,3.552421,True,56.370264,True,15.991781,True,True,
2024-01-01T01:25:00+00:00,2024-01-01T01:29:59.999000+00:00,BTCUSDT,5m,42478.07,42511.1,42470.0,42493.16,63.5964,2702706.6762971,2550,3.552421,3.552421,9.677419,4.221856,1.900165,3.552421,6.840192,37.535838,16.958023,True,48.087739,True,12.437296,True,True,
2024-01-01T01:30:00+00:00,2024-01-01T01:34:59.999000+00:00,BTCUSDT,5m,42493.16,42574.5,42493.16,42565.22,64.97471,2764168.6197293,3652,16.958023,16.958023,19.141904,2.180184,0.0,16.958023,7.137528,51.738434,35.780386,True,31.196832,True,9.639325,True,True,
2024-01-01T01:35:00+00:00,2024-01-01T01:39:59.999000+00:00,BTCUSDT,5m,42565.22,42775.0,42565.21,42717.52,420.49157,17946209.906991,18028,35.780386,35.780386,49.28673,13.455837,0.002349,35.780386,8.449331,89.276237,-4.686602,False,-12.423474,False,-33.986055,False,True,
2024-01-01T01:40:00+00:00,2024-01-01T01:44:59.999000+00:00,BTCUSDT,5m,42717.53,42751.73,42675.0,42697.5,157.10679,6710624.907508,5745,-4.688942,4.688942,17.980082,8.006081,5.272408,-4.686602,8.712469,83.104583,0.119445,True,-19.659231,False,-37.88278,False,True,
2024-01-01T01:45:00+00:00,2024-01-01T01:49:59.999000+00:00,BTCUSDT,5m,42697.5,42720.0,42653.06,42698.01,113.43382,4842759.2791199,3793,0.119445,0.119445,15.694067,5.150123,10.418948,0.119445,8.352107,83.104583,-7.859851,False,-31.43472,False,-43.688219,False,True,
2024-01-01T01:50:00+00:00,2024-01-01T01:54:59.999000+00:00,BTCUSDT,5m,42698.01,42706.1,42660.0,42664.45,39.00133,1664669.0271795,2470,-7.859851,7.859851,10.806376,1.894702,1.043132,-7.859851,8.278314,80.918371,-11.927963,False,-27.076407,False,-23.023852,False,True,
2024-01-01T01:55:00+00:00,2024-01-01T01:59:59.999000+00:00,BTCUSDT,5m,42664.46,42664.49,42613.56,42613.56,60.12244,2563466.0514107,2872,-11.930305,11.930305,11.951595,0.007032,0.0,-11.927963,8.964959,80.918371,-11.679381,False,-13.359597,False,-7.617294,False,True,
2024-01-01T02:00:00+00:00,2024-01-01T02:04:59.999000+00:00,BTCUSDT,5m,42613.57,42638.41,42558.82,42563.79,94.92511,4043920.829954,4209,-11.681725,11.681725,18.701176,5.829129,1.167796,-11.679381,9.15955,80.918371,-3.49123,False,-6.531373,False,-2.699478,False,True,
2024-01-01T02:05:00+00:00,2024-01-01T02:09:59.999000+00:00,BTCUSDT,5m,42563.79,42576.21,42545.45,42548.93,74.69948,3179242.4167908,3496,-3.49123,3.49123,7.229915,2.917973,0.817949,-3.49123,9.42535,79.694982,1.809681,True,-0.688619,False,-2.425443,False,True,
2024-01-01T02:10:00+00:00,2024-01-01T02:14:59.999000+00:00,BTCUSDT,5m,42548.92,42564.87,42541.1,42556.63,47.67362,2028727.8318541,1936,1.812032,1.812032,5.587538,1.936244,1.838222,1.809681,8.996471,72.688191,-4.850008,False,-2.495498,False,-11.370731,False,True,
2024-01-01T02:15:00+00:00,2024-01-01T02:19:59.999000+00:00,BTCUSDT,5m,42556.64,42556.64,42531.1,42535.99,52.35529,2227447.0582409,2260,-4.852357,4.852357,6.005018,0.0,1.149747,-4.850008,8.865311,71.815399,2.353301,True,16.517777,True,-16.454301,False,True,
2024-01-01T02:20:00+00:00,2024-01-01T02:24:59.999000+00:00,BTCUSDT,5m,42535.99,42571.68,42535.99,42546.0,49.60982,2110953.6571933,2012,2.353301,2.353301,8.390542,6.03582,0.0,2.353301,8.756668,71.815399,0.00235,True,6.190946,True,-24.944766,False,True,
2024-01-01T02:25:00+00:00,2024-01-01T02:29:59.999000+00:00,BTCUSDT,5m,42546.0,42546.01,42546.0,42546.01,37.33467,1588440.9709823,1394,0.00235,0.00235,0.00235,0.0,0.0,0.00235,8.460829,66.325969,14.15879,True,-2.411507,False,-27.391523,False,True,
2024-01-01T02:30:00+00:00,2024-01-01T02:34:59.999000+00:00,BTCUSDT,5m,42546.0,42606.25,42535.99,42606.25,68.94953,2935991.8797991,2467,14.161143,14.161143,16.517777,0.0,2.353301,14.15879,8.227756,57.346271,-7.958926,False,-22.245563,False,-45.383013,False,True,
2024-01-01T02:35:00+00:00,2024-01-01T02:39:59.999000+00:00,BTCUSDT,5m,42606.24,42606.25,42572.33,42572.34,60.02304,2556424.4126123,2393,-7.956581,7.956581,7.967617,0.002347,0.002349,-7.958926,5.909105,51.874981,-8.594782,False,-1.437553,False,-43.286322,False,True,
2024-01-01T02:40:00+00:00,2024-01-01T02:44:59.999000+00:00,BTCUSDT,5m,42572.33,42572.34,42533.0,42535.75,64.16796,2730223.8133277,2339,-8.592436,8.592436,9.249289,0.002349,0.646557,-8.594782,6.234396,44.414558,-5.70814,False,10.66162,True,-54.909106,False,True,
2024-01-01T02:45:00+00:00,2024-01-01T02:49:59.999000+00:00,BTCUSDT,5m,42535.74,42545.68,42511.47,42511.47,28.48084,1211398.1071797,2180,-5.70579,5.70579,8.04724,2.336858,0.0,-5.70814,6.699925,45.782938,12.878877,True,9.604467,True,-39.029467,False,True,
2024-01-01T02:50:00+00:00,2024-01-01T02:54:59.999000+00:00,BTCUSDT,5m,42511.47,42590.0,42500.0,42566.22,63.46468,2701006.6852983,3213,12.878877,12.878877,21.176471,5.58659,2.698824,12.878877,7.118177,38.703529,3.49573,True,-6.486364,False,-58.558171,False,True,
2024-01-01T02:55:00+00:00,2024-01-01T02:59:59.999000+00:00,BTCUSDT,5m,42566.22,42581.1,42562.86,42581.1,43.53576,1853600.310005,1964,3.49573,3.49573,4.285426,0.0,0.789421,3.49573,6.415296,32.567059,-6.763564,False,-17.110878,False,-58.85475,False,True,
2024-01-01T03:00:00+00:00,2024-01-01T03:04:59.999000+00:00,BTCUSDT,5m,42581.09,42586.64,42552.3,42552.3,59.48096,2532362.5806071,2374,-6.761217,6.761217,8.070069,1.303395,0.0,-6.763564,6.005254,25.0,-3.217217,False,-20.280925,False,-45.433502,False,True,
2024-01-01T03:05:00+00:00,2024-01-01T03:09:59.999000+00:00,BTCUSDT,5m,42552.31,42571.13,42538.6,42538.61,48.83862,2078290.8760361,2388,-3.219567,3.219567,7.647172,4.422792,0.002351,-3.217217,5.982615,25.0,-7.139396,False,-23.211854,False,-43.16079,False,True,
2024-01-01T03:10:00+00:00,2024-01-01T03:14:59.999000+00:00,BTCUSDT,5m,42538.61,42553.99,42501.67,42508.24,60.82908,2587051.0037645,2664,-7.139396,7.139396,12.310105,3.615539,1.545822,-7.139396,6.426562,25.0,-9.936897,False,-18.530525,False,-51.928755,False,True,
2024-01-01T03:15:00+00:00,2024-01-01T03:19:59.999000+00:00,BTCUSDT,5m,42508.24,42508.24,42456.0,42466.0,77.71739,3301187.8342386,3775,-9.936897,9.936897,12.304503,0.0,2.35538,-9.936897,6.850274,35.38958,-6.153158,False,-12.506476,False,-46.255828,False,True,
2024-01-01T03:20:00+00:00,2024-01-01T03:24:59.999000+00:00,BTCUSDT,5m,42466.0,42485.62,42437.45,42439.87,50.33267,2137290.0362723,2632,-6.153158,6.153158,11.350823,4.620167,0.570251,-6.153158,7.166929,39.776188,-2.450526,False,-12.20786,False,-29.422805,False,True,
2024-01-01T03:25:00+00:00,2024-01-01T03:29:59.999000+00:00,BTCUSDT,5m,42439.87,42450.0,42419.39,42429.47,47.79376,2028096.3250549,2453,-2.450526,2.450526,7.21604,2.386906,2.376272,-2.450526,7.370943,44.05061,-3.907661,False,-29.998018,False,-28.772455,False,True,
2024-01-01T03:30:00+00:00,2024-01-01T03:34:59.999000+00:00,BTCUSDT,5m,42429.47,42459.02,42412.89,42412.89,51.60541,2189881.7283241,2573,-3.907661,3.907661,10.87641,6.964499,0.0,-3.907661,6.516486,45.589914,-5.854352,False,-15.877249,False,-21.835343,False,True,
